target,feature,horizon,threshold,n,n_pos,base_rate,auc,auc_ci_lo,auc_ci_hi,discrim,direction,pos_median,neg_median,top_q_wr,bot_q_wr,coverage
p_gain_2pct_max,f_avg_trade_size_60s,fwd_max_max,0.02,1877,819,0.43633457645178475,0.508,0.4803,0.5327,0.008,+,136.7,142.12,44.47,42.77,0.476
p_gain_1pct_5m,f_book_imbalance_10,fwd_max_5m,0.01,3371,1561,0.46306733906852565,0.5071,0.489,0.5238,0.0071,+,0.852,0.889,44.44,41.25,0.855
p_gain_5pct_max,f_higher_lows_3m,fwd_max_max,0.05,1877,408,0.21736814064997337,0.5071,0.48,0.5344,0.0071,+,1.0,1.0,22.17,21.19,0.476
p_gain_1pct_5m,f_ask_depth_usd,fwd_max_5m,0.01,1655,842,0.508761329305136,0.5065,0.4808,0.532,0.0065,+,4474.11,4395.15,48.55,48.61,0.42
p_gain_2pct_5m,f_book_imbalance_10,fwd_max_5m,0.02,3371,942,0.2794423019875408,0.5063,0.4838,0.5259,0.0063,+,0.8674999999999999,0.865,27.54,26.36,0.855
p_gain_10pct,f_avg_trade_size_60s,fwd_max_max,0.1,1877,174,0.09270111880660628,0.5061,0.4635,0.5482,0.0061,+,142.035,140.77,8.94,9.15,0.476
p_gain_5pct_5m,f_book_imbalance_10,fwd_max_5m,0.05,3371,402,0.11925244734500148,0.5056,0.4749,0.5345,0.0056,+,0.852,0.865,12.17,12.17,0.855
p_gain_5pct_max,f_signals_1h,fwd_max_max,0.05,3776,632,0.1673728813559322,0.5053,0.4826,0.5326,0.0053,+,5.0,5.0,18.09,17.2,0.958
p_gain_1pct_5m,f_first_signal_today,fwd_max_5m,0.01,1877,920,0.49014384656366544,0.4951,0.4795,0.5091,0.0049,-,0.0,0.0,49.01,49.3,0.476
p_gain_10pct,f_secs_since_onset,fwd_max_max,0.1,1877,174,0.09270111880660628,0.4956,0.4571,0.538,0.0044,-,4.800000000000001,6.0,7.86,6.55,0.476
p_gain_2pct_max,f_higher_lows_3m,fwd_max_max,0.02,1877,819,0.43633457645178475,0.4961,0.4724,0.5194,0.0039,-,1.0,1.0,43.29,44.07,0.476
p_gain_2pct_max,f_vwap_300s,fwd_max_max,0.02,1877,819,0.43633457645178475,0.4962,0.4729,0.5247,0.0038,-,0.10130703,0.101010705,40.43,42.34,0.476
p_gain_2pct_5m,f_first_signal_today,fwd_max_5m,0.02,1877,610,0.32498668087373467,0.4964,0.4813,0.5118,0.0036,-,0.0,0.0,32.5,32.68,0.476
p_gain_2pct_max,f_bid_depth_usd,fwd_max_max,0.02,1655,748,0.45196374622356494,0.4974,0.4711,0.5266,0.0026,-,4956.465,5052.47,42.79,42.27,0.42
p_gain_2pct_max,f_market_breadth_5m,fwd_max_max,0.02,1877,819,0.43633457645178475,0.5024,0.4752,0.523,0.0024,+,4.0,4.0,43.9,44.69,0.476
p_gain_2pct_5m,f_bid_depth_usd,fwd_max_5m,0.02,1655,560,0.338368580060423,0.502,0.4763,0.5305,0.002,+,5385.885,4818.71,30.29,30.19,0.42
p_gain_5pct_max,f_book_imbalance_10,fwd_max_max,0.05,3371,596,0.17680213586472857,0.4982,0.4715,0.5213,0.0018,-,0.852,0.869,17.85,17.26,0.855
p_gain_3pct_5m,f_first_signal_today,fwd_max_5m,0.03,1877,445,0.2370804475226425,0.5016,0.4861,0.518,0.0016,+,0.0,0.0,23.71,23.64,0.476
p_gain_3pct_5m,f_utc_hour,fwd_max_5m,0.03,3776,701,0.18564618644067796,0.501,0.4776,0.5246,0.001,+,10.0,10.0,18.91,17.41,0.958
p_gain_1pct_5m,f_btc_ret_1h,fwd_max_5m,0.01,3779,1666,0.44085736967451705,0.5,0.5,0.5,0.0,+,0.0,0.0,44.09,44.09,0.959
p_gain_2pct_5m,f_btc_ret_1h,fwd_max_5m,0.02,3779,999,0.26435564964276265,0.5,0.5,0.5,0.0,+,0.0,0.0,26.44,26.44,0.959
p_gain_3pct_5m,f_btc_ret_1h,fwd_max_5m,0.03,3779,701,0.1854988092087854,0.5,0.5,0.5,0.0,+,0.0,0.0,18.55,18.55,0.959
p_gain_5pct_5m,f_btc_ret_1h,fwd_max_5m,0.05,3779,429,0.1135220957925377,0.5,0.5,0.5,0.0,+,0.0,0.0,11.35,11.35,0.959
p_gain_2pct_max,f_btc_ret_1h,fwd_max_max,0.02,3779,1474,0.39005027785128343,0.5,0.5,0.5,0.0,+,0.0,0.0,39.01,39.01,0.959
p_gain_5pct_max,f_btc_ret_1h,fwd_max_max,0.05,3779,632,0.1672400105848108,0.5,0.5,0.5,0.0,+,0.0,0.0,16.72,16.72,0.959
p_gain_10pct,f_btc_ret_1h,fwd_max_max,0.1,3779,224,0.05927494046043927,0.5,0.5,0.5,0.0,+,0.0,0.0,5.93,5.93,0.959
p_gain_30pct,f_btc_ret_1h,fwd_max_max,0.3,3779,22,0.005821645938078857,0.5,0.5,0.5,0.0,+,0.0,0.0,0.58,0.58,0.959
